Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=MFG~String~MFG~100|Field=MFG_PN~String~MFG_PN~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~166|Field=Unit Price~String~Unit Price~34|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arb_Power_Booster.PrjPcb|ReportField=ProjectFullPath~C:\IMR_Projects\IMR\Arb_Power_Booster\Hardware\Arb_Power_Booster\Arb_Power_Booster.PrjPcb|ReportField=Title~BOM_PartType For Project [Arb_Power_Booster.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~245|ReportField=ReportTime~5:13:38 AM|ReportField=ReportDate~2/25/2025|ReportField=ReportDateTime~2/25/2025 5:13:38 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectTitle~Arbitrary Power Booster|ReportField=ProjectTime~08:00|ReportField=ProjectRevision~1|ReportField=ProjectDocumentNumber~IMR-005-SCH|ReportField=ProjectDate~02/25/25|ReportField=Address1~3621 Gin Way|ReportField=Address2~Snellville GA, 30039|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~02/06/25|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~IMR-005-SCH|ReportField=DrawnBy~|ReportField=Engineer~Hab S Collector|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~Arbitrary Power Booster|ReportField=DataSourceFileName~Arb_Power_Booster.PrjPcb|ReportField=DataSourceFullPath~C:\IMR_Projects\IMR\Arb_Power_Booster\Hardware\Arb_Power_Booster\Arb_Power_Booster.PrjPcb
Panasonic Electronic|CAP ALE 330UF 20% 50V SMD|C1, C2, C3, C9, C10, C11|PANASONIC_EEEFK0J332AQ|CAP_330UF_50V_ALE|6|EEV-FK1H331Q|Panasonic Electronic|DigiKey|PCE3475CT-ND|1.41
GRM21BR61H106KE43L|CAP CER 10UF 50V X5R 0805|C4, C12, C16|CAP_0805|CAP_SMD_10UF_50V_0805|3|Murata Electronics|GRM21BR61H106KE43L|DigiKey|490-18663-1-ND|.28
KGM21NR71H104KT|CAP CER 0.1UF 50V X7R 0805|C5, C6, C7, C8, C13, C17, C18, C19, C20, C21, C22, C23, C24, C25, C27, C28, C29, C33, C34, C35, C36, C37, C38, C39, C41, C42|CAP_0805|CAP_SMD_0.1UF_50V_0805|26|KYOCERA AVX|KGM21NR71H104KT|DigiKey|478-KGM21NR71H104KTCT-ND|.1
C0805C680K5RACAUTO|CAP CER 68PF 50V X7R 0805|C14|CAP_0805|CAP_SMD_68PF_50V_0805|1|KEMET|C0805C680K5RACAUTO|DigiKey|399-C0805C680K5RACAUTOCT-ND|.24
GRM32ER60J476ME20L|CAP CER 47UF 50V X5R 1210|C15|CAP_1210|CAP_SMD_47UF_16V_1210|1|Murata Electronics|GRM32ER60J476ME20L|DigiKey|490-1887-1-ND|.28
08055C105K4T2A|CAP CER 1UF 50V X7R 0805|C26, C40|CAP_0805|CAP_SMD_1UF_50V_0805|2|KYOCERA AVX|08055C105K4T2A|DigiKey|478-KAM21KR71H105KUCT-ND|.27
KCM55WC71E107MH13L|CAP CER 100UF 25V X7S SMD|C30, C31, C32|CAPC6153X670N|CAP_SMD_100UF_25V_SMD|3|Murata Electronics|KCM55WC71E107MH13L|DigiKey|490-KCM55WC71E107MH13LCT-ND|5.68
MMSZ5239BS-7-F|DIODE ZENER 9.1V 200MW SOD323|D1, D5|SOD323|DIODE_ZENER_MMSZ5239BS-7-F|2|Diodes Inc|MMSZ5239BS-7-F|DigiKey|MMSZ5239BS-FDICT-ND|.18
1N4148W-7-F|RELAY REED SPDT 250MA 5V|D2, D3, D7, D9, D10, D15, D16, D21, D22|SOD123|DIODE_1N4148W-7-F|9|Diodes Inc|1N4148W-7-F|DigiKey|1N4148W-FDICT-ND|.16
MMSZ5226BS-7-F|DIODE ZENER 3.3V 200MW SOD323|D4|SOD323|DIODE_ZENER_MMSZ5226BS-7-F|1|Diodes Inc|MMSZ5226BS-7-F|DigiKey|MMSZ5226BS-FDICT-ND|.15
